filename,status,adsorptionUnits_orig,pressureUnits_orig,ads_factor,pres_factor,coherence_fixes
10.1039C1cc12278a.Isotherm7,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C1cc12858b.isotherm5,processed,mmol/g,bar,0.06233248145608677,1.0,
10.1039C1cc12858b.isotherm6,processed,mmol/g,bar,0.06233248145608677,1.0,
10.1039C1cc16261f.Isotherm8,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C1cc16261f.Isotherm9,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C1ce05103b.Isotherm5,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C1dt10682a.Isotherm4,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C1dt10683j.isotherm2,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C1sc00591j.Isotherm2,processed,mmol/g,bar,1.0,1.0,
10.1039C1sc00591j.Isotherm4,processed,mmol/g,bar,1.0,1.0,
10.1039C1sc00591j.Isotherm8,processed,mmol/g,bar,1.0,1.0,
10.1039C2cc34482c.Isotherm9,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039c2cc34921c.Isotherm4,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C2cc35068h.isotherm3,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C2cc35461f.Isotherm10,processed,mmol/g,bar,0.6233248145608677,1.0,
10.1039C2cc35461f.Isotherm8,processed,mmol/g,bar,0.6233248145608677,1.0,
10.1039C2cc36220a.Isotherm4,processed,mmol/g,bar,1.0,1.0,
10.1039C2ce06372g.isotherm6,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C2dt12198k.isotherm11,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C2dt12198k.isotherm5,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C2jm15538a.Isotherm4,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C2jm15601f.Isotherm13,processed,mmol/g,bar,1.0,1.0,
10.1039C2jm15601f.Isotherm14,processed,mmol/g,bar,1.0,1.0,
10.1039C2jm15601f.Isotherm15,processed,mmol/g,bar,1.0,1.0,
10.1039C2jm15721g.Isotherm5,processed,mmol/g,bar,1.0,1.0,
10.1039C2jm15721g.Isotherm6,processed,mmol/g,bar,1.0,1.0,
10.1039c2jm15811f.Isotherm10,processed,mmol/g,bar,1.0,1.0,
10.1039c2jm15811f.Isotherm14,processed,mmol/g,bar,1.0,1.0,
10.1039c2jm15811f.Isotherm9,processed,mmol/g,bar,1.0,1.0,
10.1039C2ra20641b.isotherm4,processed,mmol/g,bar,1.0,1.0,
10.1039C2ra20641b.isotherm5,processed,mmol/g,bar,1.0,1.0,
10.1039C2ta00155a.isotherm4,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C2ta00155a.isotherm7,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C2ta00635a.Isotherm12,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C2ta00635a.Isotherm9,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C2ta01260j.isotherm3,processed,mmol/g,bar,1.0,1.0,
10.1039C3cc00093a.isotherm4,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C3cc00093a.isotherm5,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C3cc38260e.isotherm4,processed,mmol/g,bar,0.06233248145608677,1.0,
10.1039C3cc42156b.Isotherm8,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C3cc45180a.isotherm4,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C3cc47286h.isotherm10,processed,mmol/g,bar,1.0,1.0,
10.1039C3cc47286h.isotherm9,processed,mmol/g,bar,1.0,1.0,
10.1039C3cc47462c.isotherm2,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C3cc48275h.Isotherm10,processed,mmol/g,bar,0.6233248145608677,1.0,P/100
10.1039C3cc48275h.Isotherm11,processed,mmol/g,bar,0.6233248145608677,1.0,P/100
10.1039C3cc48275h.Isotherm12,processed,mmol/g,bar,0.6233248145608677,1.0,P/100
10.1039C3cc48275h.Isotherm13,processed,mmol/g,bar,0.6233248145608677,1.0,P/100
10.1039C3cc48275h.Isotherm14,processed,mmol/g,bar,0.6233248145608677,1.0,P/100
10.1039C3cc48381a.Isotherm7,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C3cc48556k.Isotherm6,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C3ce26177h.isotherm4,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C3ce26177h.isotherm7,processed,mmol/g,bar,0.6233248145608677,1.0,
10.1039c3ce26788a.Isotherm7,processed,mmol/g,bar,0.6233248145608677,1.0,
10.1039C3ce40452h.isotherm3,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C3ce40452h.isotherm6,processed,mmol/g,bar,0.0446149727848666,1.0,
